Voltage (V),Current (a.u.)
0.287,-0.044
0.304,-0.04
0.415,-0.005
0.51,0.029
0.589,0.025
0.7,0.019
0.808,0.01
0.926,0.014
1.013,0.029
1.137,0.017
1.21,0.001
1.325,-0.002
1.426,0.004
1.538,0.012
1.634,0.029
1.76,0.026
1.854,0.023
1.94,0.022
2.059,-0.002
2.147,-0.002
2.278,-0.001
2.342,0.007
2.456,0.005
2.558,0.018
2.68,0.014
2.762,0.014
2.855,0.011
2.983,0.008
3.068,0.001
3.19,0.002
3.254,0.015
3.406,0.023
3.475,0.007
3.592,0.004
3.701,-0.009
3.772,0.019
3.902,0.023
4.009,0.011
4.097,0.002
4.167,0.011
4.287,0.011
4.379,0.012
4.493,0.008
4.593,0.002
4.676,0.008
4.811,0.015
4.894,0.013
5.003,0.015
5.07,0.01
5.223,0.012
5.286,0.012
5.401,0.017
5.513,0.016
5.581,0.011
5.704,0.013
5.815,0.01
5.913,0.008
5.992,0.01
6.118,0.007
6.192,0.004
6.306,0.002
6.412,0.012
6.505,0.012
6.633,0.016
6.714,0.014
6.817,0.004
6.888,0.009
7.01,0.011
7.098,0.018
7.212,0.022
7.323,0.018
7.385,0.014
7.505,0.012
7.591,0.014
7.72,0.015
7.777,0.017
7.883,0.018
7.967,0.02
8.089,0.023
8.174,0.027
8.285,0.035
8.399,0.035
8.463,0.038
8.579,0.05
8.68,0.058
8.756,0.074
8.873,0.079
8.987,0.084
9.083,0.097
9.161,0.113
9.286,0.127
9.363,0.149
9.479,0.204
9.58,0.245
9.651,0.246
9.759,0.224
9.861,0.247
9.98,0.291
10.055,0.348
10.18,0.381
10.269,0.405
10.382,0.469
10.495,0.496
10.561,0.541
10.674,0.604
10.79,0.671
10.897,0.703
10.986,0.753
11.108,0.808
11.175,0.848
11.305,0.903
11.401,0.935
11.485,0.98
11.581,1.003
11.705,1.066
11.798,1.074
11.907,1.048
12.023,1.041
12.095,1.067
12.221,1.097
12.307,1.123
12.413,1.14
12.527,1.159
12.643,1.175
12.739,1.199
12.816,1.257
12.932,1.24
13.013,1.231
13.133,1.235
13.214,1.273
13.326,1.268
13.432,1.27
13.542,1.294
13.613,1.311
13.719,1.323
13.842,1.364
13.922,1.317
14.05,1.375
14.119,1.402
14.233,1.425
14.331,1.464
14.458,1.442
14.56,1.441
14.63,1.465
14.742,1.472
14.827,1.482
14.944,1.493
15.025,1.514
15.137,1.557
15.233,1.57
15.356,1.59
15.422,1.576
15.528,1.593
15.652,1.598
15.736,1.589
15.861,1.605
15.93,1.603
16.044,1.614
16.134,1.623
16.268,1.637
16.366,1.647
16.44,1.667
16.554,1.681
16.618,1.692
16.736,1.699
16.836,1.707
16.936,1.716
17.019,1.728
17.139,1.737
17.233,1.742
17.315,1.755
17.457,1.765
17.521,1.774
17.639,1.783
17.742,1.791
17.831,1.8
17.92,1.816
18.067,1.819
18.156,1.823
18.236,1.832
18.359,1.84
18.423,1.853
18.539,1.865
18.644,1.876
18.723,1.88
18.82,1.881
18.932,1.897
19.042,1.906
19.105,1.911
19.221,1.917
19.328,1.936
19.442,1.929
19.526,1.937
19.614,1.941
19.724,1.941
19.822,1.946
19.951,1.954
20.021,1.961
20.152,1.969
20.234,1.983
20.347,2.013
20.459,2.061
20.533,2.119
20.632,2.105
20.749,2.115
20.856,2.042
20.936,2.022
21.056,2.021
21.142,2.02
21.262,2.024
21.366,2.03
21.454,2.034
21.543,2.038
21.664,2.044
21.777,2.048
21.865,2.053
21.982,2.054
22.046,2.058
22.162,2.059
22.272,2.059
22.335,2.063
22.443,2.064
22.552,2.069
22.667,2.066
22.73,2.033
22.851,2.025
22.952,2.128
23.065,2.157
23.155,2.136
23.246,2.143
23.349,2.161
23.459,2.108
23.576,2.09
23.657,2.125
23.775,2.15
23.858,2.156
23.971,2.16
24.077,2.195
24.157,2.199
24.259,2.182
24.371,2.171
24.48,2.164
24.557,2.155
24.691,2.161
24.768,2.158
24.89,2.158
24.99,2.152
25.088,2.162
25.178,2.168
25.297,2.186
25.389,2.185
25.49,2.189
25.608,2.204
25.674,2.208
25.79,2.218
25.896,2.241
25.968,2.242
26.08,2.245
26.201,2.25
26.292,2.264
26.382,2.271
26.503,2.248
26.575,2.281
26.699,2.244
26.801,2.218
26.889,2.213
26.981,2.234
27.102,2.247
27.203,2.239
27.305,2.237
27.424,2.238
27.492,2.243
27.612,2.246
27.707,2.242
27.805,2.237
27.919,2.237
28.035,2.236
28.107,2.248
28.214,2.254
28.33,2.249
28.398,2.255
28.534,2.257
28.614,2.178
28.725,2.311
28.828,2.299
28.934,2.285
29.036,2.282
29.123,2.279
29.239,2.277
29.324,2.281
29.448,2.284
29.519,2.286
29.626,2.288
29.734,2.29
29.856,2.29
29.916,2.293
30.028,2.298
30.143,2.304
30.215,2.309
30.358,2.31
30.427,2.309
30.54,2.309
30.641,2.311
30.758,2.313
30.861,2.314
30.936,2.313
31.058,2.308
31.141,2.312
31.266,2.289
31.331,2.288
31.446,2.308
31.538,2.333
31.669,2.346
31.733,2.346
31.841,2.353
31.956,2.333
32.036,2.323
32.161,2.336
32.237,2.359
32.355,2.351
32.45,2.321
32.57,2.321
32.661,2.333
32.74,2.347
32.861,2.355
32.938,2.346
33.059,2.335
33.143,2.321
33.232,2.324
33.321,2.334
33.458,2.331
33.54,2.327
33.637,2.328
33.763,2.347
33.823,2.373
33.941,2.354
34.046,2.365
34.143,2.354
34.228,2.333
34.349,2.333
34.445,2.33
34.515,2.335
34.654,2.337
34.728,2.336
34.841,2.339
34.954,2.337
35.012,2.343
35.125,2.343
35.227,2.343
35.342,2.342
35.408,2.339
35.522,2.34
35.634,2.342
35.736,2.341
35.85,2.344
35.917,2.346
36.03,2.349
36.105,2.346
36.229,2.347
36.314,2.348
36.433,2.348
36.54,2.35
36.647,2.351
36.723,2.353
36.79,2.351
36.91,2.35
36.995,2.35
37.111,2.36
37.211,2.355
37.292,2.354
37.421,2.353
37.506,2.349
37.615,2.347
37.698,2.346
37.827,2.347
37.898,2.348
38.012,2.351
38.12,2.349
38.185,2.35
38.321,2.351
38.412,2.353
38.521,2.35
38.598,2.351
38.717,2.347
38.804,2.345
38.923,2.347
39.028,2.346
39.114,2.343
39.246,2.343
39.325,2.343
39.436,2.345
39.537,2.346
39.653,2.345
39.721,2.347
39.845,2.345
39.937,2.34
40.046,2.34
40.164,2.344
40.275,2.342
40.379,2.346
40.446,2.345
40.559,2.345
40.64,2.345
40.784,2.345
40.85,2.347
40.975,2.345
41.07,2.344
41.183,2.345
41.287,2.344
41.378,2.346
41.472,2.346
41.584,2.347
41.692,2.345
41.765,2.345
41.886,2.343
41.976,2.337
42.092,2.301
42.202,2.344
42.273,2.347
42.374,2.34
42.473,2.34
42.598,2.344
42.662,2.347
42.783,2.348
42.881,2.352
42.994,2.348
43.097,2.341
43.177,2.345
43.279,2.347
43.382,2.343
43.497,2.336
43.563,2.336
43.673,2.341
43.787,2.347
43.897,2.353
43.995,2.363
44.065,2.355
44.182,2.361
44.245,2.378
44.368,2.398
44.466,2.408
44.575,2.437
44.69,2.444
44.779,2.459
44.863,2.458
44.953,2.411
45.087,2.372
45.148,2.412
45.263,2.528
45.373,2.626
45.442,2.509
45.569,2.39
0.29,0.012
0.303,0.006
0.415,-0.001
0.507,0.011
0.589,0.007
0.7,0.007
0.811,0.007
0.926,0.009
1.015,0.009
1.141,0.004
1.21,-0.003
1.324,0.009
1.429,0.001
1.542,0.014
1.636,0.009
1.763,-0.002
1.858,0.006
1.941,0.006
2.059,0.011
2.149,0.006
2.277,0.004
2.343,0.009
2.458,0.007
2.56,0.008
2.68,0.011
2.761,0.012
2.856,0.021
2.98,0.008
3.072,0.002
3.19,0.008
3.256,0.006
3.408,0.006
3.475,0.005
3.592,0.003
3.701,0.009
3.774,0.006
3.901,0.006
4.011,0.011
4.097,0.007
4.17,0.002
4.287,0.009
4.38,0.01
4.493,0.011
4.591,0.009
4.675,0.004
4.811,0.009
4.894,0.013
5.003,0.011
5.071,0.008
5.223,0.01
5.287,0.014
5.404,0.01
5.513,-0.006
5.583,-0.004
5.705,0.003
5.816,0.001
5.915,0.017
5.994,0.012
6.12,0.008
6.192,0.018
6.306,0.027
6.414,0.048
6.503,0.012
6.633,-0.001
6.714,0.003
6.818,0.006
6.888,0.012
7.005,0.012
7.098,0.017
7.212,0.011
7.324,0.015
7.387,0.02
7.504,0.019
7.59,0.02
7.72,0.023
7.778,0.03
7.886,0.034
7.97,0.038
8.092,0.039
8.174,0.048
8.284,0.061
8.399,0.066
8.464,0.075
8.582,0.089
8.679,0.101
8.761,0.115
8.874,0.131
8.989,0.151
9.086,0.171
9.163,0.193
9.286,0.218
9.363,0.242
9.48,0.274
9.583,0.307
9.654,0.342
9.759,0.375
9.865,0.411
9.98,0.447
10.061,0.495
10.183,0.539
10.269,0.585
10.382,0.632
10.494,0.673
10.56,0.71
10.676,0.761
10.795,0.799
10.899,0.838
10.986,0.873
11.11,0.903
11.176,0.931
11.312,0.958
11.401,0.978
11.493,1.001
11.585,1.021
11.707,1.04
11.797,1.055
11.909,1.073
12.024,1.091
12.097,1.109
12.223,1.128
12.307,1.144
12.416,1.154
12.529,1.169
12.644,1.183
12.742,1.198
12.816,1.211
12.932,1.226
13.017,1.24
13.138,1.254
13.215,1.27
13.329,1.282
13.434,1.298
13.547,1.312
13.616,1.324
13.719,1.338
13.843,1.353
13.925,1.364
14.051,1.376
14.119,1.388
14.234,1.399
14.333,1.408
14.459,1.424
14.561,1.434
14.63,1.445
14.743,1.455
14.826,1.467
14.944,1.479
15.025,1.491
15.139,1.501
15.235,1.513
15.357,1.521
15.421,1.531
15.53,1.543
15.656,1.557
15.74,1.564
15.863,1.582
15.931,1.582
16.046,1.579
16.137,1.61
16.269,1.627
16.371,1.63
16.44,1.64
16.554,1.647
16.619,1.654
16.742,1.67
16.837,1.677
16.936,1.687
17.024,1.693
17.143,1.698
17.233,1.705
17.316,1.713
17.455,1.726
17.521,1.742
17.643,1.748
17.742,1.748
17.833,1.762
17.925,1.769
18.067,1.777
18.16,1.781
18.24,1.794
18.361,1.824
18.422,1.839
18.54,1.83
18.645,1.819
18.725,1.814
18.82,1.823
18.933,1.838
19.043,1.854
19.106,1.861
19.225,1.861
19.328,1.863
19.442,1.875
19.529,1.882
19.617,1.887
19.724,1.896
19.825,1.905
19.952,1.907
20.022,1.912
20.153,1.919
20.234,1.927
20.347,1.935
20.459,1.937
20.538,1.943
20.632,1.951
20.754,1.957
20.856,1.962
20.936,1.966
21.059,1.975
21.142,1.982
21.261,1.984
21.366,1.989
21.455,1.995
21.548,2.003
21.665,2.007
21.777,2.014
21.864,2.016
21.984,2.021
22.046,2.023
22.162,2.023
22.272,2.027
22.339,2.036
22.442,2.039
22.553,2.044
22.667,2.044
22.733,2.047
22.854,2.052
22.951,2.058
23.066,2.064
23.16,2.067
23.246,2.07
23.348,2.073
23.461,2.081
23.577,2.085
23.661,2.086
23.776,2.088
23.858,2.096
23.971,2.099
24.079,2.099
24.158,2.103
24.259,2.11
24.373,2.11
24.48,2.116
24.561,2.117
24.693,2.118
24.77,2.121
24.893,2.128
24.99,2.131
25.091,2.135
25.177,2.135
25.298,2.137
25.389,2.143
25.492,2.148
25.609,2.151
25.676,2.153
25.791,2.154
25.896,2.159
25.973,2.163
26.085,2.165
26.2,2.165
26.292,2.167
26.385,2.172
26.504,2.177
26.575,2.177
26.699,2.178
26.801,2.181
26.89,2.183
26.984,2.185
27.106,2.187
27.204,2.191
27.308,2.195
27.424,2.197
27.491,2.2
27.616,2.199
27.707,2.201
27.809,2.204
27.922,2.207
28.038,2.208
28.109,2.207
28.214,2.208
28.329,2.213
28.4,2.214
28.537,2.213
28.615,2.216
28.726,2.219
28.833,2.222
28.938,2.223
29.037,2.224
29.124,2.227
29.241,2.225
29.326,2.226
29.45,2.229
29.519,2.231
29.626,2.232
29.736,2.233
29.856,2.232
29.919,2.232
30.028,2.233
30.142,2.233
30.218,2.235
30.361,2.237
30.427,2.236
30.542,2.234
30.641,2.237
30.758,2.239
30.863,2.241
30.938,2.239
31.06,2.24
31.145,2.242
31.269,2.244
31.332,2.244
31.447,2.243
31.541,2.244
31.67,2.245
31.735,2.245
31.841,2.245
31.956,2.244
32.037,2.245
32.161,2.244
32.238,2.242
32.356,2.244
32.452,2.242
32.57,2.244
32.66,2.244
32.742,2.244
32.861,2.244
32.941,2.243
33.059,2.242
33.143,2.243
33.234,2.245
33.322,2.245
33.457,2.244
33.54,2.246
33.637,2.247
33.762,2.249
33.823,2.249
33.941,2.248
34.045,2.249
34.146,2.249
34.228,2.248
34.348,2.248
34.445,2.249
34.517,2.249
34.655,2.249
34.728,2.25
34.841,2.25
34.954,2.251
35.012,2.25
35.125,2.25
35.225,2.251
35.344,2.252
35.408,2.253
35.524,2.255
35.634,2.256
35.739,2.255
35.85,2.257
35.917,2.256
36.03,2.255
36.107,2.255
36.233,2.257
36.314,2.256
36.43,2.255
36.54,2.256
36.644,2.257
36.725,2.258
36.786,2.258
36.91,2.257
36.994,2.259
37.11,2.259
37.212,2.26
37.296,2.264
37.421,2.26
37.506,2.255
37.615,2.274
37.702,2.268
37.829,2.27
37.899,2.27
38.012,2.269
38.12,2.267
38.184,2.266
38.32,2.267
38.416,2.267
38.521,2.268
38.597,2.271
38.72,2.272
38.805,2.267
38.92,2.267
39.029,2.268
39.115,2.268
39.244,2.269
39.323,2.271
39.434,2.272
39.537,2.271
39.653,2.273
39.721,2.275
39.848,2.275
39.937,2.277
40.045,2.279
40.164,2.28
40.275,2.281
40.379,2.282
40.444,2.283
40.559,2.284
40.635,2.284
40.782,2.284
40.851,2.287
40.975,2.286
41.07,2.287
41.183,2.288
41.284,2.287
41.378,2.288
41.475,2.288
41.583,2.289
41.691,2.291
41.763,2.29
41.884,2.291
41.977,2.292
42.091,2.293
42.202,2.294
42.268,2.294
42.372,2.295
42.474,2.294
42.598,2.295
42.662,2.295
42.784,2.294
42.881,2.297
42.994,2.298
43.094,2.296
43.175,2.297
43.278,2.295
43.381,2.3
43.493,2.3
43.562,2.294
43.671,2.293
43.787,2.304
43.896,2.297
43.994,2.299
44.06,2.303
44.183,2.3
44.244,2.298
44.365,2.299
44.466,2.299
44.57,2.301
44.689,2.301
44.777,2.303
44.863,2.303
44.95,2.3
45.086,2.3
45.147,2.302
45.262,2.303
45.373,2.304
45.436,2.303
45.563,2.301
