Voltage (V),Current (a.u.)
2.651,1.557
2.649,1.558
2.649,1.558
2.654,1.558
2.692,1.559
2.721,1.562
2.728,1.561
2.851,1.558
2.933,1.558
3.071,1.56
3.673,1.56
5.252,1.563
5.922,1.56
6.866,1.561
7.537,1.563
8.193,1.562
8.734,1.564
9.23,1.564
9.929,1.563
11.047,1.564
11.79,1.563
12.899,1.56
13.517,1.561
13.968,1.561
14.457,1.565
15.158,1.588
15.384,1.607
16.219,1.662
16.715,1.701
17.684,1.746
18.17,1.772
18.657,1.801
19.287,1.853
19.932,1.913
20.527,1.996
20.81,2.029
21.512,2.147
22.097,2.272
22.307,2.325
23.02,2.335
23.613,2.279
24.508,2.058
25.169,1.928
25.405,1.906
25.82,1.863
25.952,1.852
26.142,1.833
26.184,1.833
26.476,1.808
26.752,1.786
26.977,1.77
26.956,1.772
27.248,1.749
27.238,1.75
27.262,1.751
27.421,1.741
27.844,1.712
28.041,1.701
28.294,1.688
28.878,1.656
29.068,1.648
29.107,1.648
29.638,1.622
29.728,1.619
29.872,1.613
30.057,1.606
30.218,1.6
30.49,1.59
30.76,1.581
31.118,1.57
31.288,1.566
31.587,1.563
31.749,1.563
32.021,1.581
32.223,1.595
32.575,1.624
32.791,1.636
32.849,1.632
33.246,1.658
33.441,1.671
33.611,1.682
33.842,1.698
34.165,1.726
34.253,1.749
34.58,1.77
34.737,1.802
35.013,1.835
35.455,1.927
36.046,2.073
36.649,2.333
37.079,2.597
37.493,2.849
37.903,3.093
37.975,3.152
37.966,3.151
37.99,3.164
37.992,3.163
38.007,3.184
38.009,3.116
38.011,3.138
38.007,3.095
38.019,3.135
38.02,3.196
38.021,3.134
37.991,3.087
38.006,3.094
38.127,3.184
38.684,3.565
38.9,3.703
38.9,3.669
38.995,3.771
39.479,4.06
39.678,4.156
39.751,4.191
39.907,4.239
40.089,4.255
40.711,4.431
40.892,4.499
40.89,4.514
41.215,4.545
41.951,4.547
42.053,4.54
42.115,4.53
42.126,4.548
42.124,4.539
42.12,4.562
42.128,4.561
42.418,4.519
42.542,4.502
42.611,4.493
42.823,4.446
43.215,4.342
43.602,4.215
43.752,4.174
44.331,3.929
44.723,3.742
44.882,3.664
45.204,3.484
46.009,3.016
46.521,2.69
46.948,2.406
47.116,2.303
47.537,2.046
47.834,1.909
48.032,1.851
48.254,1.798
48.373,1.79
48.53,1.77
48.981,1.736
49.254,1.735
49.274,1.738
49.201,1.739
49.204,1.741
49.491,1.735
49.615,1.736
49.646,1.741
49.837,1.734
50.147,1.73
50.843,1.717
50.954,1.718
50.965,1.721
50.935,1.719
51.376,1.735
51.55,1.75
52.362,1.779
52.545,1.798
52.964,1.833
53.455,1.903
54.179,2.166
54.755,2.411
55.021,2.664
55.435,2.935
55.664,3.119
56.192,3.45
56.627,3.721
56.977,3.975
57.526,4.378
57.936,4.662
58.157,4.82
58.406,5.02
58.812,5.29
59.23,5.569
59.487,5.707
59.753,5.792
59.974,5.939
60.176,6.034
60.542,6.135
60.694,6.164
61.295,6.352
61.477,6.397
61.612,6.417
61.683,6.437
62.047,6.457
62.222,6.467
62.544,6.449
62.804,6.433
63.094,6.395
63.653,6.269
63.84,6.213
64.138,6.114
64.58,5.93
64.666,5.896
65.073,5.704
65.148,5.672
65.157,5.673
65.463,5.538
65.71,5.435
66.099,5.276
66.114,5.274
66.124,5.266
66.381,5.177
66.649,5.077
66.981,4.926
67.739,4.571
67.826,4.542
68.239,4.4
68.677,4.251
69.19,4.085
69.361,4.028
69.381,4.029
70.084,3.853
70.595,3.756
70.742,3.736
70.981,3.696
70.999,3.697
71.421,3.651
72.201,3.653
72.715,3.685
73.43,3.81
73.61,3.884
73.96,3.968
74.015,3.992
74.314,4.025
74.445,4.113
74.578,4.156
74.657,4.183
75.09,4.338
75.432,4.447
75.667,4.548
75.779,4.565
76.218,4.794
76.674,4.974
76.948,5.095
77.439,5.315
77.697,5.412
78.207,5.652
78.328,5.697
78.797,5.898
79.197,6.043
79.765,6.242
79.912,6.298
80.499,6.487
80.909,6.586
81.844,6.749
82.571,6.876
83.488,6.97
84.39,6.981
85.986,6.925
87.27,6.802
87.817,6.721
88.273,6.677
88.3,6.675
88.65,6.62
89.036,6.576
89.606,6.519
90.323,6.452
90.673,6.425
90.955,6.405
91.347,6.391
91.65,6.397
91.796,6.388
91.868,6.358
91.966,6.359
91.925,6.364
91.912,6.342
91.983,6.347
92.321,6.343
92.364,6.348
92.378,6.327
92.388,6.339
92.405,6.35
92.425,6.348
92.441,6.344
92.453,6.335
92.466,6.321
92.476,6.326
92.485,6.314
92.491,6.297
92.498,6.28
92.504,6.282
92.511,6.29
92.518,6.27
92.523,6.279
92.532,6.253
92.538,6.259
92.543,6.253
92.554,6.242
92.559,6.238
92.563,6.233
92.567,6.219
92.572,6.227
92.572,6.241
92.574,6.237
92.573,6.236
92.573,6.235
92.573,6.224
92.574,6.201
